step,loss
1,0.393575
2,0.334942
3,0.354035
4,0.374357
5,0.350120
6,0.338412
7,0.351189
8,0.365977
9,0.362572
10,0.351089
11,0.355166
12,0.370610
13,0.336313
14,0.351840
15,0.370478
16,0.374361
17,0.356525
18,0.327949
19,0.348297
20,0.357435
21,0.360636
22,0.340225
23,0.351105
24,0.368790
25,0.367218
26,0.345076
27,0.348123
28,0.347234
29,0.348916
30,0.354417
31,0.317394
32,0.339837
33,0.343536
34,0.350451
35,0.357093
36,0.374990
37,0.348389
38,0.346716
39,0.364541
40,0.346258
41,0.336895
42,0.345990
43,0.367228
44,0.366707
45,0.361298
46,0.343727
47,0.324198
48,0.359534
49,0.340811
50,0.338542
51,0.355727
52,0.387241
53,0.336313
54,0.354531
55,0.346254
56,0.338030
57,0.360188
58,0.354801
59,0.331498
60,0.333483
61,0.365761
62,0.356628
63,0.349002
64,0.325179
65,0.332399
66,0.342680
67,0.354517
68,0.338337
69,0.346639
70,0.344661
71,0.331952
72,0.335623
73,0.333472
74,0.356642
75,0.329941
76,0.337671
77,0.364004
78,0.348757
79,0.338325
80,0.363625
81,0.355398
82,0.333198
83,0.343392
84,0.332618
85,0.355776
86,0.357795
87,0.334014
88,0.334745
89,0.344416
90,0.329653
91,0.337503
92,0.369828
93,0.373495
94,0.338093
95,0.348568
96,0.338768
97,0.353151
98,0.331348
99,0.345572
100,0.350703
101,0.347654
102,0.352749
103,0.370022
104,0.350408
105,0.328725
106,0.376987
107,0.341107
108,0.361408
109,0.362142
110,0.362983
111,0.338852
112,0.347301
113,0.335435
114,0.350879
115,0.332223
116,0.335077
117,0.339370
118,0.341976
119,0.342424
120,0.347801
121,0.341184
122,0.325994
123,0.368366
124,0.335316
125,0.369867
126,0.346982
127,0.361154
128,0.347511
129,0.319258
130,0.317291
131,0.351615
132,0.338021
133,0.366477
134,0.334433
135,0.361611
136,0.357146
137,0.323046
138,0.320589
139,0.340545
140,0.349598
141,0.330798
142,0.341648
143,0.356273
144,0.326479
145,0.353977
146,0.336305
147,0.336130
148,0.337103
149,0.362732
150,0.328146
151,0.330356
152,0.330494
153,0.350489
154,0.336111
155,0.355985
156,0.325187
157,0.321145
158,0.347054
159,0.317558
160,0.340461
161,0.323012
162,0.337533
163,0.349073
164,0.327687
165,0.333659
166,0.332742
167,0.346230
168,0.332922
169,0.325751
170,0.330991
171,0.314087
172,0.345565
173,0.320311
174,0.335613
175,0.330288
176,0.336429
177,0.346472
178,0.324811
179,0.314440
180,0.322613
181,0.334009
182,0.322348
183,0.312098
184,0.315646
185,0.338836
186,0.318450
187,0.342390
188,0.302341
189,0.308372
190,0.313215
191,0.310830
192,0.336020
193,0.340017
194,0.331375
195,0.332052
196,0.321740
197,0.315831
198,0.308555
199,0.313115
200,0.326959
201,0.329188
202,0.337293
203,0.328012
204,0.327416
205,0.338458
206,0.321321
207,0.316629
208,0.335852
209,0.338676
210,0.327370
211,0.317319
212,0.327386
213,0.321008
214,0.312070
215,0.321070
