step,loss
1,0.383958
2,0.363272
3,0.327264
4,0.364051
5,0.351355
6,0.345867
7,0.314596
8,0.401656
9,0.366480
10,0.369697
11,0.375706
12,0.339887
13,0.373002
14,0.386678
15,0.391486
16,0.384054
17,0.372725
18,0.339536
19,0.345641
20,0.380592
21,0.400988
22,0.364398
23,0.331217
24,0.347153
25,0.356107
26,0.362116
27,0.334312
28,0.359554
29,0.369951
30,0.350370
31,0.339941
32,0.331741
33,0.340523
34,0.353582
35,0.340769
36,0.346354
37,0.343874
38,0.374745
39,0.350319
40,0.376206
41,0.401179
42,0.366347
43,0.363496
44,0.365847
45,0.361272
46,0.344780
47,0.352983
48,0.342502
49,0.332629
50,0.363672
51,0.320018
52,0.332128
53,0.336401
54,0.348030
55,0.364330
56,0.353675
57,0.361144
58,0.349969
59,0.374326
60,0.330193
61,0.371736
62,0.363285
63,0.377029
64,0.361428
65,0.342334
66,0.363013
67,0.382179
68,0.350011
69,0.365199
70,0.360856
71,0.373990
72,0.356254
73,0.347539
74,0.336089
75,0.365369
76,0.396927
77,0.351657
78,0.351262
79,0.345759
80,0.392443
81,0.356849
82,0.397315
83,0.346841
84,0.324289
85,0.392881
86,0.367134
87,0.342069
88,0.323935
89,0.375200
90,0.338831
91,0.333022
92,0.351039
93,0.347383
94,0.339939
95,0.358564
96,0.340886
97,0.365496
98,0.338402
99,0.377162
100,0.334662
101,0.388206
102,0.368738
103,0.348104
104,0.318470
105,0.353378
106,0.354895
107,0.338071
108,0.373869
109,0.328159
110,0.354747
111,0.342429
112,0.331194
113,0.331718
114,0.327285
115,0.351517
116,0.354634
117,0.350222
118,0.344845
119,0.310708
120,0.342132
121,0.335095
122,0.317270
123,0.337150
124,0.348756
125,0.365573
126,0.358421
127,0.317046
128,0.358274
129,0.335074
130,0.350212
131,0.347243
132,0.350746
133,0.324018
134,0.317020
135,0.353373
136,0.337973
137,0.337011
138,0.326447
139,0.351067
140,0.333936
141,0.322239
142,0.341319
143,0.343980
144,0.311049
145,0.333414
146,0.322238
147,0.321440
148,0.359899
149,0.341793
150,0.361659
151,0.338444
152,0.325118
153,0.321859
154,0.374375
155,0.307940
156,0.335333
157,0.349110
158,0.329851
159,0.343921
160,0.325175
161,0.341793
162,0.357647
163,0.370787
164,0.293869
165,0.326522
166,0.342277
167,0.352422
168,0.344225
169,0.317090
170,0.349984
171,0.324841
172,0.349876
173,0.332617
174,0.317973
175,0.347528
176,0.354986
177,0.333577
178,0.339274
179,0.348319
180,0.333412
181,0.324818
182,0.312974
183,0.322088
184,0.353378
185,0.352419
186,0.331626
187,0.330039
188,0.348873
189,0.349737
190,0.344811
191,0.310448
192,0.329692
193,0.312986
194,0.324050
195,0.306119
196,0.332792
197,0.339237
198,0.329177
199,0.336348
200,0.350993
201,0.326250
202,0.331375
203,0.344540
204,0.308383
205,0.299442
206,0.350087
207,0.319038
208,0.330862
209,0.308639
210,0.336650
211,0.330295
212,0.337873
213,0.342374
214,0.318032
215,0.315374
216,0.322458
217,0.327420
218,0.308051
219,0.348697
220,0.336125
221,0.312471
222,0.312800
223,0.344094
224,0.333242
225,0.288876
226,0.337664
227,0.282096
228,0.322088
229,0.310424
230,0.296872
231,0.307677
232,0.330767
233,0.331786
234,0.335410
235,0.339954
236,0.334847
237,0.314530
238,0.341836
239,0.323371
240,0.317347
241,0.321851
242,0.310523
243,0.338639
244,0.305191
245,0.305284
246,0.308906
247,0.338296
248,0.322163
249,0.334267
250,0.331800
251,0.326162
252,0.305781
253,0.335716
254,0.309029
255,0.304623
256,0.305256
257,0.334809
258,0.318595
259,0.354568
260,0.313898
261,0.317543
262,0.308338
263,0.294601
264,0.311947
265,0.279061
266,0.304730
267,0.290879
268,0.300127
269,0.284262
270,0.292221
271,0.319114
272,0.314693
273,0.344789
274,0.304616
275,0.307156
276,0.316991
277,0.301985
278,0.308479
279,0.305586
280,0.312729
281,0.345522
282,0.296169
283,0.337518
284,0.315439
285,0.293163
286,0.344206
287,0.289515
288,0.308361
289,0.291420
290,0.323658
291,0.342226
292,0.293625
293,0.314947
294,0.287911
295,0.308792
296,0.308790
297,0.307181
298,0.286669
299,0.316467
300,0.305591
301,0.301347
302,0.295410
303,0.322141
304,0.325620
305,0.326623
306,0.318442
307,0.298849
308,0.307229
309,0.276018
310,0.290429
311,0.321204
312,0.319747
313,0.339669
314,0.324048
315,0.323913
316,0.307080
317,0.297280
318,0.321180
319,0.267576
320,0.300578
321,0.317132
322,0.274367
323,0.322342
324,0.339096
325,0.330152
326,0.308818
327,0.308548
328,0.275059
329,0.311984
330,0.327887
331,0.315233
332,0.304671
333,0.304548
334,0.317340
335,0.289685
336,0.305158
337,0.314152
338,0.313727
339,0.321985
340,0.311543
341,0.277135
342,0.290993
343,0.305293
344,0.324886
345,0.317369
346,0.281162
347,0.335794
348,0.311597
349,0.303453
350,0.302355
351,0.331598
352,0.275714
353,0.298167
354,0.300511
355,0.276933
356,0.290273
357,0.296957
358,0.302361
359,0.288516
360,0.307143
361,0.282009
362,0.282740
363,0.259268
364,0.316938
365,0.298565
366,0.324738
367,0.307912
368,0.287463
369,0.303886
370,0.282160
371,0.310501
372,0.299717
373,0.321434
374,0.307600
375,0.343803
376,0.300450
377,0.293514
378,0.296937
379,0.290464
380,0.264460
381,0.274317
382,0.320276
383,0.289817
384,0.279004
385,0.294982
386,0.282526
387,0.293603
388,0.339734
389,0.286349
390,0.308358
391,0.301673
392,0.295552
393,0.326236
394,0.273831
395,0.268605
396,0.284017
397,0.296788
398,0.291098
399,0.294735
400,0.323192
401,0.278121
402,0.317286
403,0.302435
404,0.293396
405,0.288947
406,0.326035
407,0.299764
408,0.316952
409,0.297120
410,0.258137
411,0.271492
412,0.302380
413,0.294869
414,0.294735
415,0.280015
416,0.298110
417,0.293224
418,0.280615
419,0.283193
420,0.301159
421,0.300998
422,0.282819
423,0.284535
424,0.282269
425,0.307576
426,0.306243
427,0.279617
428,0.305779
429,0.293815
430,0.300749
431,0.270709
432,0.287997
433,0.271422
434,0.271347
435,0.258517
436,0.268142
437,0.289463
438,0.288229
439,0.274183
440,0.312913
441,0.296953
442,0.304168
443,0.269815
444,0.280579
445,0.294636
446,0.280259
447,0.282329
448,0.304815
449,0.287664
450,0.274101
451,0.276606
